Student ID,Student Name,Term,Class,Predicted Outcome,Likelihood of Passing (%),Risk Level,CA Progress (%),Overall Score (%),Attendance (%),Subjects at Risk,Main Issue,Recommended Action
STU_0008,Student 0008,2024_T1,JSS1,Pass,91.5,Low,78.5,78.5,87.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0008,Student 0008,2024_T2,JSS1,Pass,85.4,Low,79.9,79.9,85.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0008,Student 0008,2025_T1,JSS1,Pass,93.2,Low,78.2,78.2,82.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0008,Student 0008,2025_T2,JSS1,Pass,94.4,Low,82.8,82.8,83.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0009,Student 0009,2024_T1,JSS1,Pass,69.6,Medium,65.2,65.2,51.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0009,Student 0009,2024_T2,JSS1,Fail,33.5,High,60.5,60.5,40.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0009,Student 0009,2025_T1,JSS1,Pass,78.3,Low,79.2,79.2,43.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0009,Student 0009,2025_T2,JSS1,Pass,84.8,Low,78.1,78.1,41.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0010,Student 0010,2024_T1,JSS3,Pass,87.7,Low,77.8,77.8,87.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0010,Student 0010,2024_T2,JSS3,Pass,68.9,Medium,65.8,65.8,88.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0010,Student 0010,2025_T1,JSS3,Pass,82.2,Low,74.7,74.7,100.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0010,Student 0010,2025_T2,JSS3,Pass,83.7,Low,77.0,77.0,100.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0011,Student 0011,2024_T1,JSS3,Pass,93.7,Low,96.0,96.0,82.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0011,Student 0011,2024_T2,JSS3,Pass,93.7,Low,95.9,95.9,80.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0011,Student 0011,2025_T1,JSS3,Pass,93.4,Low,83.2,83.2,77.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0011,Student 0011,2025_T2,JSS3,Pass,94.1,Low,91.4,91.4,75.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0012,Student 0012,2024_T1,JSS2,Pass,88.3,Low,75.3,75.3,82.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0012,Student 0012,2024_T2,JSS2,Pass,89.0,Low,81.8,81.8,88.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0012,Student 0012,2025_T1,JSS2,Pass,89.9,Low,77.6,77.6,83.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0012,Student 0012,2025_T2,JSS2,Pass,85.6,Low,71.6,71.6,87.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0013,Student 0013,2024_T1,JSS1,Pass,92.4,Low,86.6,86.6,93.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0013,Student 0013,2024_T2,JSS1,Pass,90.6,Low,84.5,84.5,80.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0013,Student 0013,2025_T1,JSS1,Pass,92.4,Low,86.0,86.0,81.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0013,Student 0013,2025_T2,JSS1,Pass,93.4,Low,87.8,87.8,85.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0014,Student 0014,2024_T1,JSS2,Pass,93.7,Low,83.7,83.7,83.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0014,Student 0014,2024_T2,JSS2,Pass,93.8,Low,82.7,82.7,77.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0014,Student 0014,2025_T1,JSS2,Pass,91.0,Low,77.9,77.9,76.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0014,Student 0014,2025_T2,JSS2,Pass,92.3,Low,79.8,79.8,76.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0015,Student 0015,2024_T1,SS2,Pass,92.4,Low,84.4,84.4,69.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0015,Student 0015,2024_T2,SS2,Pass,91.9,Low,82.3,82.3,71.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0015,Student 0015,2025_T1,SS2,Pass,83.4,Low,71.1,71.1,71.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0015,Student 0015,2025_T2,SS2,Pass,90.1,Low,77.9,77.9,68.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0016,Student 0016,2024_T1,JSS1,Pass,89.8,Low,76.0,76.0,88.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0016,Student 0016,2024_T2,JSS1,Pass,89.2,Low,75.5,75.5,96.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0016,Student 0016,2025_T1,JSS1,Pass,94.2,Low,81.3,81.3,84.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0016,Student 0016,2025_T2,JSS1,Pass,94.6,Low,85.1,85.1,90.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0017,Student 0017,2024_T1,JSS1,Pass,88.7,Low,89.3,89.3,96.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0017,Student 0017,2024_T2,JSS1,Pass,89.0,Low,85.3,85.3,93.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0017,Student 0017,2025_T1,JSS1,Pass,89.1,Low,84.9,84.9,87.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0017,Student 0017,2025_T2,JSS1,Pass,85.7,Low,80.5,80.5,100.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0018,Student 0018,2024_T1,SS3,Pass,92.1,Low,85.4,85.4,79.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0018,Student 0018,2024_T2,SS3,Pass,90.9,Low,83.5,83.5,78.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0018,Student 0018,2025_T1,SS3,Pass,90.9,Low,84.5,84.5,65.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0018,Student 0018,2025_T2,SS3,Pass,91.4,Low,87.4,87.4,66.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0019,Student 0019,2024_T1,SS1,Pass,94.8,Low,84.3,84.3,61.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0019,Student 0019,2024_T2,SS1,Pass,93.3,Low,95.9,95.9,68.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0019,Student 0019,2025_T1,SS1,Pass,95.7,Low,93.0,93.0,61.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0019,Student 0019,2025_T2,SS1,Pass,90.3,Low,97.0,97.0,60.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0020,Student 0020,2024_T1,JSS1,Pass,90.9,Low,80.5,80.5,93.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0020,Student 0020,2024_T2,JSS1,Pass,91.2,Low,80.2,80.2,88.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0020,Student 0020,2025_T1,JSS1,Pass,87.9,Low,78.2,78.2,96.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0020,Student 0020,2025_T2,JSS1,Pass,89.1,Low,81.9,81.9,85.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0021,Student 0021,2024_T1,SS2,Pass,94.8,Low,87.6,87.6,79.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0021,Student 0021,2024_T2,SS2,Pass,89.4,Low,75.1,75.1,76.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0021,Student 0021,2025_T1,SS2,Pass,91.4,Low,86.2,86.2,82.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0021,Student 0021,2025_T2,SS2,Pass,95.9,Low,91.3,91.3,76.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0022,Student 0022,2024_T1,JSS2,Pass,86.2,Low,70.8,70.8,48.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0022,Student 0022,2024_T2,JSS2,Pass,88.6,Low,73.0,73.0,59.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0022,Student 0022,2025_T1,JSS2,Pass,90.2,Low,73.2,73.2,61.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0022,Student 0022,2025_T2,JSS2,Pass,89.9,Low,73.7,73.7,53.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0023,Student 0023,2024_T1,JSS2,Pass,91.6,Low,77.0,77.0,87.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0023,Student 0023,2024_T2,JSS2,Pass,81.8,Low,85.0,85.0,84.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0023,Student 0023,2025_T1,JSS2,Pass,87.0,Low,70.2,70.2,81.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0023,Student 0023,2025_T2,JSS2,Pass,90.0,Low,75.9,75.9,93.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0024,Student 0024,2024_T1,SS3,Pass,94.0,Low,81.8,81.8,66.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0024,Student 0024,2024_T2,SS3,Pass,82.6,Low,95.7,95.7,62.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0024,Student 0024,2025_T1,SS3,Pass,92.4,Low,91.4,91.4,70.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0024,Student 0024,2025_T2,SS3,Pass,94.6,Low,82.0,82.0,70.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0025,Student 0025,2024_T1,SS1,Pass,92.2,Low,76.8,76.8,84.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0025,Student 0025,2024_T2,SS1,Pass,92.2,Low,88.3,88.3,85.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0025,Student 0025,2025_T1,SS1,Pass,91.3,Low,77.5,77.5,96.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0025,Student 0025,2025_T2,SS1,Pass,92.5,Low,74.3,74.3,86.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0026,Student 0026,2024_T1,SS2,Pass,95.2,Low,91.4,91.4,62.0,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0026,Student 0026,2024_T2,SS2,Pass,93.6,Low,86.6,86.6,67.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0026,Student 0026,2025_T1,SS2,Pass,94.8,Low,89.3,89.3,72.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0026,Student 0026,2025_T2,SS2,Pass,94.9,Low,88.0,88.0,62.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0027,Student 0027,2024_T1,JSS2,Pass,94.7,Low,85.7,85.7,62.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0027,Student 0027,2024_T2,JSS2,Pass,93.4,Low,81.9,81.9,74.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0027,Student 0027,2025_T1,JSS2,Pass,95.6,Low,85.9,85.9,61.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0027,Student 0027,2025_T2,JSS2,Pass,94.6,Low,82.5,82.5,71.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0028,Student 0028,2024_T1,JSS3,Pass,88.0,Low,70.3,70.3,77.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0028,Student 0028,2024_T2,JSS3,Pass,88.0,Low,71.2,71.2,71.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0028,Student 0028,2025_T1,JSS3,Pass,90.4,Low,73.0,73.0,81.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0028,Student 0028,2025_T2,JSS3,Pass,94.1,Low,79.2,79.2,76.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0029,Student 0029,2024_T1,SS2,Pass,81.0,Low,69.7,69.7,79.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0029,Student 0029,2024_T2,SS2,Pass,86.9,Low,74.3,74.3,80.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0029,Student 0029,2025_T1,SS2,Pass,88.3,Low,80.7,80.7,83.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0029,Student 0029,2025_T2,SS2,Pass,85.8,Low,86.5,86.5,81.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0030,Student 0030,2024_T1,SS2,Pass,92.8,Low,91.6,91.6,84.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0030,Student 0030,2024_T2,SS2,Pass,91.1,Low,92.1,92.1,93.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0030,Student 0030,2025_T1,SS2,Pass,91.0,Low,85.5,85.5,86.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0030,Student 0030,2025_T2,SS2,Pass,90.9,Low,83.6,83.6,86.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0031,Student 0031,2024_T1,SS1,Pass,95.9,Low,92.1,92.1,77.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0031,Student 0031,2024_T2,SS1,Pass,93.2,Low,85.8,85.8,68.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0031,Student 0031,2025_T1,SS1,Pass,94.8,Low,91.8,91.8,70.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0031,Student 0031,2025_T2,SS1,Pass,93.1,Low,83.3,83.3,77.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0032,Student 0032,2024_T1,JSS2,Pass,95.5,Low,93.0,93.0,62.0,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0032,Student 0032,2024_T2,JSS2,Pass,95.8,Low,96.7,96.7,73.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0032,Student 0032,2025_T1,JSS2,Pass,96.2,Low,89.2,89.2,62.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0032,Student 0032,2025_T2,JSS2,Pass,95.5,Low,88.0,88.0,71.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0033,Student 0033,2024_T1,SS2,Pass,93.9,Low,91.5,91.5,96.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0033,Student 0033,2024_T2,SS2,Pass,93.4,Low,84.8,84.8,91.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0033,Student 0033,2025_T1,SS2,Pass,89.1,Low,80.0,80.0,88.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0033,Student 0033,2025_T2,SS2,Pass,94.1,Low,84.4,84.4,93.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0034,Student 0034,2024_T1,SS3,Pass,88.3,Low,75.0,75.0,92.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0034,Student 0034,2024_T2,SS3,Pass,91.0,Low,86.2,86.2,89.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0034,Student 0034,2025_T1,SS3,Pass,89.8,Low,73.1,73.1,91.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0034,Student 0034,2025_T2,SS3,Pass,92.0,Low,85.7,85.7,87.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0035,Student 0035,2024_T1,SS3,Pass,89.4,Low,74.5,74.5,64.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0035,Student 0035,2024_T2,SS3,Pass,88.9,Low,79.5,79.5,67.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0035,Student 0035,2025_T1,SS3,Pass,90.0,Low,75.4,75.4,61.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0035,Student 0035,2025_T2,SS3,Pass,91.7,Low,80.6,80.6,60.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0036,Student 0036,2024_T1,JSS2,Pass,90.2,Low,73.1,73.1,73.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0036,Student 0036,2024_T2,JSS2,Pass,89.1,Low,78.2,78.2,68.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0036,Student 0036,2025_T1,JSS2,Pass,93.1,Low,77.8,77.8,74.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0036,Student 0036,2025_T2,JSS2,Pass,93.3,Low,84.1,84.1,80.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0037,Student 0037,2024_T1,SS3,Pass,95.2,Low,92.3,92.3,85.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0037,Student 0037,2024_T2,SS3,Pass,93.3,Low,83.8,83.8,79.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0037,Student 0037,2025_T1,SS3,Pass,89.6,Low,85.0,85.0,88.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0037,Student 0037,2025_T2,SS3,Pass,95.9,Low,91.0,91.0,85.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0038,Student 0038,2024_T1,JSS3,Pass,90.6,Low,73.3,73.3,60.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0038,Student 0038,2024_T2,JSS3,Pass,89.3,Low,87.8,87.8,67.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0038,Student 0038,2025_T1,JSS3,Pass,92.0,Low,84.1,84.1,68.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0038,Student 0038,2025_T2,JSS3,Pass,88.2,Low,86.2,86.2,57.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0039,Student 0039,2024_T1,SS1,Fail,4.8,High,45.6,45.6,45.5,5,"Low attendance, Many failed subjects",Contact student/guardian regarding attendance. Consider counselling.
STU_0039,Student 0039,2024_T2,SS1,Fail,11.7,High,46.3,46.3,49.2,5,"Low attendance, Many failed subjects",Contact student/guardian regarding attendance. Consider counselling.
STU_0039,Student 0039,2025_T1,SS1,Fail,9.6,High,49.3,49.3,47.5,3,"Low attendance, Low CA",Provide targeted CA support and additional practice materials.
STU_0039,Student 0039,2025_T2,SS1,Fail,18.4,High,51.4,51.4,50.9,2,"Low attendance, Low CA",Provide targeted CA support and additional practice materials.
STU_0040,Student 0040,2024_T1,SS3,Pass,88.6,Low,82.0,82.0,88.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0040,Student 0040,2024_T2,SS3,Pass,90.2,Low,89.2,89.2,96.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0040,Student 0040,2025_T1,SS3,Pass,91.0,Low,87.5,87.5,93.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0040,Student 0040,2025_T2,SS3,Pass,91.6,Low,87.0,87.0,87.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0041,Student 0041,2024_T1,SS3,Pass,94.0,Low,82.6,82.6,73.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0041,Student 0041,2024_T2,SS3,Pass,92.3,Low,87.8,87.8,68.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0041,Student 0041,2025_T1,SS3,Pass,83.8,Low,91.5,91.5,71.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0041,Student 0041,2025_T2,SS3,Pass,94.8,Low,82.2,82.2,72.3,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0042,Student 0042,2024_T1,JSS3,Pass,90.8,Low,72.1,72.1,37.7,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0042,Student 0042,2024_T2,JSS3,Pass,91.5,Low,77.5,77.5,48.8,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0042,Student 0042,2025_T1,JSS3,Pass,92.7,Low,73.8,73.8,45.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0042,Student 0042,2025_T2,JSS3,Pass,92.7,Low,70.5,70.5,42.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0043,Student 0043,2024_T1,SS1,Pass,93.1,Low,92.3,92.3,82.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0043,Student 0043,2024_T2,SS1,Pass,93.7,Low,94.5,94.5,74.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0043,Student 0043,2025_T1,SS1,Pass,92.2,Low,86.6,86.6,86.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0043,Student 0043,2025_T2,SS1,Pass,90.6,Low,85.2,85.2,72.5,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0044,Student 0044,2024_T1,SS2,Pass,95.6,Low,95.2,95.2,86.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0044,Student 0044,2024_T2,SS2,Pass,93.8,Low,88.1,88.1,87.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0044,Student 0044,2025_T1,SS2,Pass,95.5,Low,89.4,89.4,85.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0044,Student 0044,2025_T2,SS2,Pass,93.7,Low,85.9,85.9,88.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0045,Student 0045,2024_T1,SS1,Pass,82.8,Low,77.8,77.8,100.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0045,Student 0045,2024_T2,SS1,Pass,61.6,Medium,63.6,63.6,93.1,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0045,Student 0045,2025_T1,SS1,Pass,75.4,Low,68.1,68.1,91.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0045,Student 0045,2025_T2,SS1,Pass,84.1,Low,75.2,75.2,86.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0046,Student 0046,2024_T1,JSS1,Pass,91.1,Low,73.6,73.6,71.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0046,Student 0046,2024_T2,JSS1,Pass,90.8,Low,73.7,73.7,77.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0046,Student 0046,2025_T1,JSS1,Pass,89.5,Low,70.8,70.8,70.1,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0046,Student 0046,2025_T2,JSS1,Pass,90.1,Low,71.2,71.2,75.3,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0047,Student 0047,2024_T1,JSS2,Pass,94.3,Low,83.3,83.3,76.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0047,Student 0047,2024_T2,JSS2,Pass,95.0,Low,91.9,91.9,78.5,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0047,Student 0047,2025_T1,JSS2,Pass,95.1,Low,85.1,85.1,79.9,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0047,Student 0047,2025_T2,JSS2,Pass,95.0,Low,85.3,85.3,79.8,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0048,Student 0048,2024_T1,JSS2,Pass,92.6,Low,76.9,76.9,60.0,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
